,N,varN
0,21130682.680955235,127477543.86254618
1,20385358.528638583,117870374.01968293
2,19666318.192044318,109305863.40681002
3,19039824.323648576,109097268.95923224
4,18195174.208067358,98042856.46372634
5,17595225.022629727,95141328.4807233
6,17032618.863254648,90591068.21649152
7,16484485.5774096,85088407.77196053
8,15899993.708568381,80270180.52515638
9,15425711.971077489,76032046.67400981
10,14906365.333809339,70999968.28815491
11,14465676.443849344,72055039.66224054
12,13942637.975467674,65047016.06166656
13,13503913.561661165,64387807.61811815
14,13075683.541618137,61630507.230493285
15,12692587.284874927,62356338.024333894
16,11876958.564459834,55745229.15289743
17,10981150.314656716,48773065.67046708
18,10475276.16408098,46698076.47113904
19,10172488.004583191,43176709.99394673
21,9377716.790004259,40228962.71227482
22,9094929.243446115,38082662.94876211
23,8847174.911496703,36103336.7884328
24,7870760.721232348,28856400.703164965
25,7662788.473115057,30900906.155312967
26,7445826.651855402,27410624.124282483
27,7249982.525209272,28155786.608152438
28,7057311.54826781,27670875.232002366
29,6868606.838842592,25836668.509409256
30,6693879.389122463,24292178.215281397
33,21888781.525550954,128693324.07878657
34,20867038.17598188,121498250.6404764
35,20131816.60773136,117010895.75774138
36,19349187.76224895,111623776.65529662
37,18652163.399124093,108747820.95730056
38,17938869.60475744,96200211.18627965
39,17251034.959988315,91935936.57254566
40,16705441.82220704,88271527.78723814
41,15995965.034519553,85651159.14912048
42,15460221.755068908,80686250.87738028
43,23119845.559208676,138331493.211251
44,22162684.660011042,138664377.1113741
46,20142760.14092278,113642990.60893486
47,19243165.075837087,108024291.69212584
48,18486443.162463438,102379290.90572275
49,17740739.41269975,96812380.98695414
50,17129977.63653232,89491888.04552367
54,21783782.972018972,131311078.18033972
55,20888470.675269973,126080387.07673113
56,20129625.187259674,114033484.0730945
57,19435808.235986184,113710855.78470667
58,18572888.933175452,107070243.6173019
